"","id","sex1","cohort1","childeth","childrace","momeduc","dadeduc","income","foodstamp","houseassist","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11","edcon","y1ncT1","y1ncT2","y2ncT1","y2ncT2","y1dqdwfT1","y1dqdwfT2","y2dqdwfT1","y2dqdwfT2","age12","y1ef","RV_Scaled","BD_Scaled","In_Scaled","FSIQ","Percentile","PALS","y1temaraw","y1temaper","y1temascore","y2ef","y2temaraw","y2temaper","y2temascore","y1enumT1","y1enumT2","y1gnT1","y1gnT2","y1ptxT1","y1ptxT2","y1mbT1","y1mbT2","y1dqdaccT1","y1dqdaccT2","y1ocscoreT1","y1ocaccT1","y1ocscoreT2","y1ocaccT2","y1vcT1","y1vcT2","y1nvcT1","y1nvcT2","y1nrT1","y1nrT2","y1ck_allT1","y1ck_corT1","y1ck_rlT1","y1ck_peT1","y1ck_eT1","y1ck_allT2","y1ck_corT2","y1ck_rlT2","y1ck_peT2","y1ck_eT2","y1cqdT1","y1cqdT2","y2enumT1","y2enumT2","y2gnT1","y2gnT2","y2ptxT1","y2ptxT2","y2mbT1","y2mbT2","y2dqdaccT1","y2dqdaccT2","y2ocscoreT1","y2ocaccT1","y2ocscoreT2","y2ocaccT2","y2vcT1","y2vcT2","y2nvcT1","y2nvcT2","y2nrT1","y2nrT2","y2ck_allT1","y2ck_corT1","y2ck_rlT1","y2ck_peT1","y2ck_eT1","y2ck_allT2","y2ck_corT2","y2ck_rlT2","y2ck_peT2","y2ck_eT2","y2cqdT1","y2cqdT2"
"1",100,1,1,"2","3","3","3","2","1","0",41,"42","43","45","46","47",NA,NA,"57",NA,NA,1,NA,"16.66666667",NA,NA,"1.03","196832221.4",NA,NA,"59",18,14,9,13,112,79,24,10,50,100,47,15,50,100,12,14,6,6,1.705,1.6825,100,97.448,66.67,54.17,2.03,46.03174603,3.05,69.16099773,10,14,27.27272727,66.66666667,7.336,12,45.732,40.741,52.281,43.986,45.381,50,100,33.33333333,66.66666667,0,70.421,70.83333333,9.158,14.034,4.273,5.187,1.624,2.584,39.189,70.78,87.954,98.432,3.194,72.615,3.345,75.86,14.624,22.392,46.035,52.989,10.273,10.811,61.221,95.653,32.627,50.948,64.792,54.642,57.143,85.566,33.077,45.552,77.121,78.636
"2",116,1,1,NA,"3","3.5","3.5","2","0","0",41,"42","43","45","46","46","53","53","58","58","59",1,NA,"50","100","83.33333333","0.76","0.62","0.29","0.28","59",43,13,11,11,110,75,17,9,45,98,56,31,95,125,13,12,2,5,2.0675,2.3525,87.5,50,70.83,75,3.91,88.66213152,3.954,79.88,12,14,16.66666667,8.333333333,1,7,58.33333333,66.66666667,66.66666667,33.33333333,66.66666667,33.33333333,0,100,33.33333333,0,58.33333333,83.33333333,20,20,6,6,2.3175,2.2675,87.5,75,90,93.33,3.61,81.85941043,3.55,80.49886621,38,100,50,75,15,15,75,100,100,100,0,91.66666667,100,100,100,66.66666667,85.71428571,89.28571429
"3",133,1,1,"2","3",NA,NA,"2","0","0",48,"49","50","52","52","53","59","60",NA,NA,NA,0,"33.33333333","50","66.66666667",NA,NA,"4.48",NA,NA,NA,37,7,10,7,85,16,23,11,42,97,42.652,23.365,61.498,107.243,14,15,2,6,0.5,1.9825,87.5,50,45.83,54.17,2.94,66.66666667,0.83,33.32695985,10,14,25,20,5,12,83.33333333,66.66666667,100,100,66.66666667,41.66666667,0,100,33.33333333,33.33333333,66.66666667,58.33333333,20,16.421,6,5.921,2.865,2.955,50,93.611,43.33,63.016,2.05,46.48526077,2.975,67.458,49,44.667,16.66666667,34.388,15,13.671,66.66666667,100,66.66666667,66.66666667,33.33333333,33.051,61.555,41.929,14.229,14.109,67.85714286,68.925
"4",135,1,3,"1","5","3","3","3","0","0",43,"44","46","48","49","49","55","55","56","58","58",1,"33.33333333","50","16.66666667","33.33333333","1.74",NA,"1.73",NA,"61",16,10,9,7,91,27,14,3,7,78,42,12,23,89,10,14,0,3,0.808,1.705,62.5,62.5,60,50,1.25,0.283416109,1.92,0.435327143,7,0,8.592,8.333333333,3,2,57.14285714,100,100,0,50,50,100,66.66666667,33.33333333,0,37.5,50,12,12,3,6,2.3525,2.04,62.5,62.5,56.67,43.33,3.58,81.17913832,4.41,100,12,13,25,41.66666667,6,9,58.33333333,66.66666667,33.33333333,100,33.33333333,75,100,66.66666667,66.66666667,66.66666667,83.33333333,50
"5",137,1,2,"2","5","3.5","3.5","1","1","0",44,"45","49","50","50","51","56","57","57","59","60",1,NA,"50",NA,"50","2.3","1.94","1.37","0.8","63",15,14,5,9,94,34,18,7,16,85,30,16,30,92,3,10,1.971,2,0.835,2.115,50,50,53.33,56.67,3.66,82.99319728,1.36,30.83900227,4,12,0,25,0,2,75,66.66666667,100,100,33.33333333,58.33333333,66.66666667,33.33333333,100,33.33333333,45.83333333,58.33333333,15,15,6,6,2.02,2.3025,25,50,63.33,70,2.72,61.67134528,3.24,73.46145541,13,15,25,29.588,2,10,41.66666667,0,66.66666667,33.33333333,66.66666667,22.22222222,0,50,33.33333333,0,79.16666667,83.33333333
"6",141,1,3,"2","6","3.5","2","3","1","0",49,"49","51","52","53","54","60","60","61","63","63",1,"66.66666667",NA,"100","100","0.77","0.19","0.45","0.05","66",36,13,9,10,103,58,5,9,21,88,47,20,35,94,10,14,4,6,2.3525,1.79,50,37.5,73.33,96.67,2.83,0.64165407,2.49,0.564564889,14,14,8.333333333,16.66666667,2,1,41.66666667,100,33.33333333,0,33.33333333,66.66666667,33.33333333,100,100,33.33333333,75,79.16666667,20,20,6,6,3.2,3.535,37.5,75,83.33,90,3.66,82.99319728,2.16,48.97959184,19,30,58.33333333,41.66666667,9,7,58.33333333,100,100,33.33333333,0,100,100,100,100,100,87.5,83.33333333
"7",145,1,2,"2","5","5","5","2","0","0",42,"42","45","47","48","49",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"0.55","0.61097",NA,NA,NA,43,13,11,14,117,87,0,7,23,89,45.043,12.085,8.88,82.898,12,12,2,3,2.365,1.755,75,100,80,73.33,3.61,81.85941043,1.17,26.53061225,3,8,25,16.66666667,0,1,75,100,100,100,0,75,100,66.66666667,33.33333333,100,70.83333333,62.5,11.969,16.366,4.795,5.367,2.286,2.364,83.081,56.418,64.493,89.936,2.9,69.857,2.979,67.559,5.378,22.909,32.05,28.443,3.017,5.242,55.667,64.985,58.721,56.681,43.237,50.628,61.637,42.761,25.917,72.921,66.012,91.976
"8",146,0,3,"2","3","3.5","3.5","2","1","0",44,NA,"45","46","46","49","54","54","56","58","58",1,NA,NA,"16.66666667","50",NA,"3.14","1.85",NA,"60",15,8,6,5,76,5,1,5,13,83,17,14,30,92,10,4,0,1,2.03,1.125,20,25,56.4,56.67,2.332,4.67,1.25,0.283416109,1.483,3,11.667,25,1.514,1,68.608,97.966,99.46,55.539,15.971,66.66666667,100,0,100,66.66666667,54.322,37.5,14,14,2,6,1.9825,1.7325,62.5,50,63.33,50,2.49,56.46258503,1.61,36.50793651,14,14,0,0,7,12,58.33333333,66.66666667,66.66666667,100,0,33.33333333,0,0,33.33333333,100,50,62.5
"9",147,0,2,NA,NA,NA,NA,NA,NA,NA,46,"47","51","51","52","53","58","59","60","61","63",0,"66.66666667","50","100","83.33333333","0.58",NA,"1.57",NA,"65",46,8,4,6,74,4,14,8,21,88,47,24,63,105,10,14,4,6,1.79,2.8875,100,37.5,80,46.67,2.13,48.29931973,2.41,54.64852608,2,15,8.333333333,25,4,9,58.33333333,100,33.33333333,66.66666667,33.33333333,50,66.66666667,66.66666667,33.33333333,33.33333333,91.66666667,37.5,18,20,6,6,2.35,2.0525,25,50,56.67,43.33,2.91,65.97927014,2.8,63.48520838,26,39,28.57142857,41.66666667,13,14,75,100,100,66.66666667,33.33333333,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,75,50
"10",158,0,2,"2","3","3.5","3.5","1","0","0",52,"52","56","58","58","58","65","65","65","68","70",1,"100","100","83.33333333","100","0.44","0.03","0.03","0.2","70",15,12,13,10,112,79,22,23,79,112,70,32,68,107,10,16,6,6,3.2,2.95,50,87.5,83.33,93.33,2.72,61.67800454,3.05,69.16099773,10,16,33.33333333,58.33333333,12,12,58.33333333,66.66666667,33.33333333,33.33333333,100,40,33.33333333,0,0,100,83.33333333,87.5,20,20,6,6,3.2,3.2,62.5,100,100,96.67,1.69,38.31785791,3.61,81.85057223,100,42,66.66666667,75,14,12,66.66666667,100,66.66666667,0,100,75,66.66666667,66.66666667,66.66666667,100,83.33333333,87.5
