ID,Sex,Cohort,Ethnicity,Race,MomEduc,DadEduc,ParentEduc,ParEdCon,AgeT1,AgeT2,Enum_T1,Enum_T2,GiveNum_T1,GiveNum_T2,GiveNumCatChange,CPknow_T1,CPknow_T2,PointX_T1,PointX_T2,MagBox_T1,MBCat_T1,NumCat_T1,AnsOtsCat_T1,MagBox_T2,Num_T1,MBCat_T2,NumCat_T2,AnsOtsCat_T2,Num_WF_T1,Num_T2,Num_WF_T2,OrdCh_T1,OrdCh_T2,VerbCount_T1,VerbCount_T2,NVBCalc_T1,NVBCalc_T2,NumRec_T1,NumRec_T2,NumComp_T1,NumComp_T2,CountKnow_T1,CountKnow_T2,Area_T1,Area_T2,EF,WPPSI,PALS,TEMA,TEMA_raw,ZParentEduc,ZAgeT1,ZEF,ZNum_T1,ZNum_T2,ZMagBox_T1,ZMagBox_T2,ZGiveNum_T1,ZGiveNum_T2,ZWPPSI,ZPALS,filter_$,RMagBox_,NMagBox_,RNum_T1,NNum_T1,ZSco01,ZSco02,ZSco03,ZSco04,ZSco05,StdZ01,StdZ02,StdZ03,StdZ04,StdZ05,ZAgeT2,ZzZz01,ZzZz02,ZNumCat_T2
100,1,A,2,3,3,3,3,1,41,45,12,14,6,6,2,1,1,1.705,1.683,100,1,1,4, ,66.67, ,0, ,1.03,54.17,196832221.35,2.03,3.05,10,14,27.27,66.67, ,12, ,16.67, ,50, ,70.83,18,112,24,100,10,-.597103967412463,-1.59765513306615,-.986338045923914,-.0283963020695855,-.845088028875524,1.82162387320537, ,1.41074318434123,1.04672500811617,.987086182585556,1.24513146419832,0,9,1,87,1,-.597103967412463,-1.59765513306615,-.986338045923914,.987086182585556,1.24513146419832,-.597103967412463,-1.59765513306615,-.986338045923914,.987086182585556,1.24513146419832,-1.60546817749311, ,-.845088028875524,-.964513731551425
116,1,A, ,3,3.5,3.5,3.5,1,41,45,13,12,2,5,1,0,1,2.068,2.353,87.5,1,1,4,50,70.83,0,1,2,.76,75,.62,3.91, ,12,14,16.67,8.33,1,7, ,50,58.33,33.33,58.33,83.33,43,110,17,98,9,-.0196415778754101,-1.59765513306615,.855960028359258,.214164928917268,.191989648027781,1.12584722325441,-1.10627670753528,-.617364335791787,.52875799379064,.858451723950166,.494233508567668,0,31,1,74.5,1,-.0196415778754101,-1.59765513306615,.855960028359258,.858451723950166,.494233508567668,-.0196415778754101,-1.59765513306615,.855960028359258,.858451723950166,.494233508567668,-1.60546817749311,-1.10627670753528,.191989648027781,1.03103191993428
133,1,A,2,3, , , ,0,48,52,14,15,2,6,1,0,1,.5,1.983,87.5,1,0,3,50,45.83,0,0,1, ,54.17,4.48,2.94,.83,10,14,25,20,5,12,33.33,50,83.33,41.67,66.67,58.33,37,85,23,97,11, ,.648135956619129,.413808490531297,-1.24353477653257,-.845088028875524,1.12584722325441,-1.10627670753528,-.617364335791787,1.04672500811617,-.749479008992204,1.13786032767965,1,31,1,170.5,2, ,.648135956619129,.413808490531297,-.749479008992204,1.13786032767965, ,.648135956619129,.413808490531297,-.749479008992204,1.13786032767965,.596780090219664,-1.10627670753528,-.845088028875524,-.964513731551425
160,1,A, ,6,3,3,3,1,49,54,5,13,1,6,1,0,1,1.468,2.04,62.5,1,1,4,100,70.83,1,0,3,.78,45.83, ,1.25,2.83,5,12,16.67,16.67,1,6, ,33.33,75,75,45.83,70.83,15,75,20,93,11,-.597103967412463,.968963255145598,-1.20741381483789,.214164928917268,-1.26031740119303,-.265706076647501,1.52387640989284,-1.12439121582504,1.04672500811617,-1.39265130216915,.816046918123661,0,101.5,2,74.5,1,-.597103967412463,.968963255145598,-1.20741381483789,-1.39265130216915,.816046918123661,-.597103967412463,.968963255145598,-1.20741381483789,-1.39265130216915,.816046918123661,1.22599388099474,1.52387640989284,-1.26031740119303,-.964513731551425
173,1,A,2,5,3,3,3,1,47,51,3,4,3,4,1,0,1,3.285,2.005,87.5,1,1,4,75,79.17,1,0,3,.5,58.33,1.46,1.17, ,3,4,16.67,33.33,1,1, ,50,72.73,66.67,58.33,70.83,31,81,17,100,4,-.597103967412463,.32730865809266,-.0283430472966643,.700453550655334,-.637971219661998,1.12584722325441,.208799851178783,-.110337455758532,.0107909794651147,-1.00674792626298,.494233508567668,0,31,1,57,1,-.597103967412463,.32730865809266,-.0283430472966643,-1.00674792626298,.494233508567668,-.597103967412463,.32730865809266,-.0283430472966643,-1.00674792626298,.494233508567668,.282173194832125,.208799851178783,-.637971219661998,-.964513731551425
223,0,A,2,2,5,5,5,2,48,52,10,14,6,6,2,1,1,2.053,3.285, , ,1, ,87.5,91.67,1,1,4,.23,87.5,.35,4.41, ,10,20,58.33,50,6,14,33.33,66.67,75,75,83.33,83.33,42,121,23,117,23,1.71274559073575,.648135956619129,.782268105387931,1.42930340338025,.814335829558809, ,.866338130535813,1.41074318434123,1.04672500811617,1.56594124644481,1.13786032767965, , , ,21,1,1.71274559073575,.648135956619129,.782268105387931,1.56594124644481,1.13786032767965,1.71274559073575,.648135956619129,.782268105387931,1.56594124644481,1.13786032767965,.596780090219664,.866338130535813,.814335829558809,1.03103191993428
228,1,A,3,3, , , ,0,49,53,11,9,1,4,1,0,1,1.518,2.103,50,0,0,1,87.5,58.33,1, , ,3, , ,2.41,2.16,6,8,8.33,16.67,1,2, , ,66.67,75,54.17,87.5,42,83,3,75,4, ,.968963255145598,.782268105387931,-.514684923807652, ,-.961482726598457,.866338130535813,-1.12439121582504,.0107909794651147,-.878113467627594,-1.00756240269363,1,150,2,120,2, ,.968963255145598,.782268105387931,-.878113467627594,-1.00756240269363, ,.968963255145598,.782268105387931,-.878113467627594,-1.00756240269363,.911386985607203,.866338130535813, , 
261,0,A,2,2,5,5,5,2,38,42,12,20,6,6,2,1,1,2.018,2.688,75,1,0,3,75,50,1,1,4, ,87.5,.34,2.05,2.49,15,20,33.33,25,15,14,16.67,16.67,75,100, ,83.33,15,118,26,103,15,1.71274559073575,-2.56013702864556,-1.20741381483789,-1.00039046566354,.814335829558809,.430070573303456,.208799851178783,1.41074318434123,1.04672500811617,1.37298955849173,1.45967373723565,1,62.5,1,153.5,2,1.71274559073575,-2.56013702864556,-1.20741381483789,1.37298955849173,1.45967373723565,1.71274559073575,-2.56013702864556,-1.20741381483789,1.37298955849173,1.45967373723565,-2.54928886365573,.208799851178783,.814335829558809,1.03103191993428
304,0,A,2,5,4,4,4,2,48,52,13,14,2,5,1,0,1,2.08, ,75,1,1,4,100,83.33,1,1,4,.41,79.17,.52,2.72,3.08,13,3,33.33,8.33, ,0, , ,66.67,75,45.83, ,46,99,4,82,7,.557820811661642,.648135956619129,1.07703579727324,.943014781642187,.399604334186532,.430070573303456,1.52387640989284,-.617364335791787,.52875799379064,.150962201455523,-.900291266174967,0,62.5,1,42,1,.557820811661642,.648135956619129,1.07703579727324,.150962201455523,-.900291266174967,.557820811661642,.648135956619129,1.07703579727324,.150962201455523,-.900291266174967,.596780090219664,1.52387640989284,.399604334186532,1.03103191993428
319,0,A,2,6,3,3,3,1,45,49,11,14,6,6,2,1,1,1.983,2.303,100,1,1,4,100,87.5,1,1,4,.35,87.5,.35,2.86,2.91,6,14,16.67,41.67,8,12,50,100,75,66.67,66.67,79.17,54,112,6,110,16,-.597103967412463,-.314345938960277,1.66657118104385,1.18615909251122,.814335829558809,1.82162387320537,1.52387640989284,1.41074318434123,1.04672500811617,.987086182585556,-.685748993137639,0,9,1,27,1,-.597103967412463,-.314345938960277,1.66657118104385,.987086182585556,-.685748993137639,-.597103967412463,-.314345938960277,1.66657118104385,.987086182585556,-.685748993137639,-.347040595942953,1.52387640989284,.814335829558809,1.03103191993428
320,1,A,2,5,4,3,3.5,2,48,52,4,5,4,3,3,1,0,1.803,2.388,100,1,1,4,100,66.67,1,0,3,1.3,62.5,1.33,2.86,2.25,4,9,16.67,25,4,3,66.67,66.67,50,75, ,66.67,15,85,5,91,10,-.0196415778754101,.648135956619129,-1.20741381483789,-.0283963020695855,-.430356533503247,1.82162387320537,1.52387640989284,.396689424274724,-.507176034860411,-.749479008992204,-.793020129656303,0,9,1,87,1,-.0196415778754101,.648135956619129,-1.20741381483789,-.749479008992204,-.793020129656303,-.0196415778754101,.648135956619129,-1.20741381483789,-.749479008992204,-.793020129656303,.596780090219664,1.52387640989284,-.430356533503247,-.964513731551425
